scp-1793,Euclid,,alive animal ectoentropic euclid leporine sapient scp sentient telekinetic teleportation 
scp-1794,Safe,,alive food plant safe sapient scp sentient 
scp-1795,Safe,,extraterrestrial hive-mind indestructible language pattern-screamer planet safe scp uncontained 
scp-1796,Anomalous Safe,site-77,container document memory-affecting meta rewritable safe scp telepathic teleportation unusual-incidents-unit 
scp-1797,Euclid,,euclid feline scp transfiguration virus 
scp-1798,Safe,,cognitohazard doomsday2018 gustatory hive-mind neurological plant safe scp transfiguration 
scp-1799,Safe,,alive auditory dr-wondertainment humanoid mind-affecting mister rewritable safe scp 
scp-18,Euclid,,ectoentropic euclid scp sphere toy 
scp-180,Euclid,site-65,clothing euclid metamorphic scp sensory tactile visual 
scp-1800,Safe,,are-we-cool-yet compulsion currency metallic safe scp sculpture 
scp-1801,Keter,area-12,bacteria biohazard keter scp sentient transfiguration virus 
scp-1802,Safe,,are-we-cool-yet automaton humanoid safe scp sentient 
scp-1803,Euclid,,are-we-cool-yet artistic building document euclid scp self-replicating 
scp-1804,Safe,site-18,appliance cognitohazard mechanical memory-affecting metallic mind-affecting safe scp visual 
scp-1805,Euclid,site-14,artifact autonomous euclid humanoid sapient scp sentient sexual 
scp-1806,Safe,site-18,event-featured language light metallic mind-affecting safe scp sculpture shadow 
scp-1807,Euclid,site-19,acoustic animal cadaver euclid extradimensional humanoid language sapient scp sentient thermal transfiguration 
scp-1808,Safe,,jewelry marshall-carter-and-dark safe scp skeletal timepiece transfiguration 
scp-1809,Euclid,,autonomous biological euclid light microscopic sapient scp sentient transmission 
scp-181,Safe,area-12,alive humanoid probability rewrite safe sapient scp sentient 
scp-1810,Euclid,,alive euclid humanoid sapient scp sentient 
scp-1811,Safe,,document furniture safe scp transfiguration wooden 
scp-1812,Keter,,extraterrestrial keter memetic mind-affecting moon satellite scp 
scp-1813,Safe,site-17,acoustic alive animal aquatic audio probability safe scp 
scp-1814,Euclid,,artifact biohazard euclid fire scp sculpture self-repairing stone thermodynamic wooden 
scp-1815,Euclid Neutralized,,acoustic euclid extraterrestrial intangible neutralized planet scp transmission 
scp-1816,Safe,,alive featured plant reproductive safe scp transfiguration 
scp-1817,Euclid,,autonomous corrosive euclid gaseous humanoid location sapient scp sentient 
scp-1818,Euclid,,airborne alive animal ectoentropic euclid event-featured leporine memory-affecting mind-affecting reanimation scp vehicle 
scp-1819,Euclid,,euclid genetic light memetic mind-affecting scp 
scp-182,Euclid,,alive euclid humanoid mind-affecting rewrite sapient scp sentient telepathic 
scp-1820,"Safe Euclid, see Incident Log 1820-7.3",,building euclid featured location scp spacetime 
scp-1821,Safe,,acoustic alive animal aquatic light omnivorous piscine safe scp sentient 
scp-1822,euclid,,euclid mathematical predictive probability scp 
scp-1823,Keter,,aquatic extradimensional keter meteorological mobile sapient scp sentient temporal 
scp-1824,Keter,,alive artistic ectoentropic humanoid keter mind-affecting neutralized sapient scp sentient uncontained 
scp-1825,Safe,,adaptive game physics safe scp toy 
scp-1826,Neutralized,,building intangible mind-affecting neutralized sapient scp sentient transfiguration 
scp-1827,Euclid,,avian euclid extradimensional metallic portal scp spacetime 
scp-1828,Safe,site-14,cephalopodic container glass map metamorphic mimetic professor-bjornsen safe scp sculpture wooden 
scp-1829,Euclid,,biohazard biological carnivorous corrosive euclid scp structure 
scp-183,Euclid,,acoustic autonomous euclid intangible musical predatory scp 
scp-1830,Safe,,alive auditory hallucination humanoid intangible safe sapient scp sentient visual 
scp-1831,Safe,,memory-affecting photographic safe scp 
scp-1832,Euclid,site-81,alive euclid humanoid medical religious sapient scp sentient 
scp-1833,Safe,site-77,class-of-76 document photographic rewritable safe scp sensory telepathic 
scp-1834,Safe,,alive ectoentropic event-featured herman-fuller humanoid metamorphic ocular olfactory performance safe sapient scp sentient 
scp-1835,Euclid,,airborne autonomous euclid rewritable scp uncontained vehicle 
scp-1836,Euclid,,adaptive alive animal aquatic cetacean euclid featured hostile humanoid religious ritual sapient scp sentient uncontained 
scp-1837,Safe,site-77,autonomous corrosive rewritable safe scp sentient tool transfiguration 
scp-1838,Keter,,addictive autonomous food gustatory keter scp sensory spacetime uncontained vehicle 
scp-1839,Safe,site-18,cognitohazard document infohazard memetic meta mind-affecting piscine safe scp visual 
scp-184,Euclid,,euclid featured metallic polyhedral scp spacetime 
scp-1840,Safe,site-19,cadaver ectoentropic humanoid reanimation safe scp self-repairing 
scp-1841,Safe,,document knowledge rewritable safe scp sleep telepathic 
scp-1842,Safe,,appliance dr-wondertainment food gustatory olfactory safe scp tactile toy transfiguration 
scp-1843,Safe,,extraterrestrial metallic ovine safe scp 
scp-1844,Euclid,,euclid geological location religious ritual scp thermal toxic 
scp-1845,Safe,,alive animal avian canine cervine feline murine ovine religious safe sapient sciurine scp sentient ursine vulpine 
scp-1846,Euclid-exsequi,site-14,alive ectoentropic euclid humanoid plant religious sapient scp sentient 
scp-1847,Euclid,,cognitohazard euclid humanoid jewelry marshall-carter-and-dark mind-affecting predatory sapient scp sentient transfiguration uncontained visual weapon 
scp-1848,Euclid Safe,,alive auditory cognitohazard director-gillespie doctor-cimmerian doctor-clef doctor-glass doctor-king doctor-mann knowledge metamorphic mind-affecting researcher-labelle safe sapient scp sentient 
scp-1849,Safe,,alive animal avian omnivorous rewrite safe scp sentient species telepathic 
scp-185,Safe (Euclid class considered after incident 185-1. See document 185-1 for details.),,acoustic electronic indestructible safe scp temporal transmission 
scp-1850,Safe,,airborne alive avian featured military rewrite safe scp vehicle 
scp-1851,Euclid,,automaton building euclid humanoid predatory scp transfiguration 
scp-1852,Safe,site-65,intangible mathematical mechanical safe sapient scp 
scp-1853,Safe,,artifact chemical liquid prometheus rewritable safe scp 
scp-1854,Safe,,artifact artistic document exchange safe scp visual 
scp-1855,Safe,,extradimensional location safe scp vehicle 
scp-1856,euclid,,biohazard cadaver contagion corrosive euclid humanoid neurological scp 
scp-1857,Euclid,,computer engraved euclid hallucination humanoid mind-affecting scp sentient skeletal visual 
scp-1858,Euclid,,autonomous ectoentropic euclid location loop mobile scp uncontained vehicle 
scp-1859,Safe Euclid,,alive biological euclid organic plant predatory radioactive scp subterranean temporal 
scp-186,Euclid,site-19,euclid featured historical location military scp weapon 
scp-1860,Euclid,,acoustic biological euclid herman-fuller humanoid liquid musical sapient scp sentient telekinetic 
scp-1861,Keter,,aquatic autonomous clothing humanoid keter liquid meteorological military organic sapient scp sentient uncontained vehicle 
scp-1862,Euclid,,biohazard chemical euclid humanoid sapient scp sentient unusual-incidents-unit 
scp-1863,Euclid,,addictive empathic euclid food liquid metamorphic scp transfiguration 
scp-1864,Euclid,,alive aquatic biohazard building euclid extradimensional hallucination humanoid indestructible inscribed loop memory-affecting metamorphic portal sapient scp sentient 
scp-1865,Safe,,alive aquatic biological clothing co-authored safe scp 
scp-1866,Safe,,contagion document mathematical safe scp temporal 
scp-1867,Anomalous Organism (sapient),,alive animal aquatic blackwood esoteric-class invertebrate knowledge sapient scp telepathic 
scp-1868,Safe-exsequi,site-88,electronic instrument neurological safe sapient scp sentient 
scp-1869,Euclid,,alive euclid humanoid sapient scp sentient telepathic 
scp-187,Safe,,alive humanoid predictive safe sapient scp sentient visual 
scp-1870,Euclid,,euclid humanoid knowledge location metamorphic scp 
scp-1871,Safe,,ectoentropic engraved liquid metallic mind-affecting safe scp sensory spacetime tactile weapon 
scp-1872,Safe,site-77,compulsion light rewritable safe scp tool vehicle 
scp-1873,Safe,,artifact cadaver ectoentropic metallic safe scp teleportation 
scp-1874,Safe,,alive animal ovine reanimation safe scp tactile 
scp-1875,Euclid,,automaton biological clockwork clothing computer euclid game mechanical mind-affecting scp sentient 
scp-1876,Safe,,inscribed safe scp temporal tool 
scp-1877,Safe,,biological humanoid portal safe scp spacetime 
scp-1878,Euclid,,euclid food humanoid liquid location scp vehicle 
scp-1879,Keter,,event-featured extradimensional humanoid keter sapient scp sentient teleportation uncontained 
scp-188,Safe,,artistic autonomous mathematical metallic safe scp telekinetic 
scp-1880,Safe,site-14,artifact auditory engraved mind-affecting nobody safe sapient scp sentient 
scp-1881,Safe,,electronic featured game hallucination mind-affecting safe scp toy 
scp-1882,Safe,,appliance electronic marshall-carter-and-dark safe scp transmission 
scp-1883,Euclid,site-65,are-we-cool-yet compulsion euclid game scp self-replicating transmission 
scp-1884,Euclid,,alive euclid herman-fuller humanoid sapient scp sentient telepathic 
scp-1885,Euclid,,dental euclid organic radioactive scp self-repairing self-replicating transfiguration 
scp-1886,Euclid,,euclid jewelry mind-affecting reproductive scp sexual 
scp-1887,Keter,,alive auditory contagion keter scp self-replicating sentient 
scp-1888,Keter Safe,,biohazard building contagion hostile location predatory safe scp telepathic 
scp-1889,Safe,,cognitohazard inscription mathematical safe scp teleportation transfiguration visual 
scp-189,Safe,,alive invertebrate parasitic safe scp vermian 
scp-1890,Safe,,cognitohazard document metamorphic mind-affecting photographic safe scp visual 
scp-1891,Safe,,artistic mechanical safe scp self-replicating 
scp-1892,Safe,,auditory furniture hallucination medical mind-affecting safe scp visual 
scp-1893,euclid,site-2498,euclid event-featured infohazard knowledge memetic meta narrative sapient scp sentient transfiguration 
scp-1894,Safe,site-77,autonomous biological rewritable safe scp teleportation transfiguration vehicle 
scp-1895,Safe,,appliance electronic game knowledge mechanical safe scp 
scp-1896,Safe,,artifact auditory autonomous hallucination intangible safe scp visual 
scp-1897,Euclid,site-06-2,computer document electronic euclid humanoid mind-affecting online sapient scp sentient species 
scp-1898,Safe,,artifact artistic featured paradox safe scp spacetime 
scp-1899,Safe,,global-occult-coalition indestructible safe scp temporal weapon 
scp-19,Keter,,adaptive alive container ectoentropic hostile keter scp sentient 
scp-190,Safe,,cognitohazard container ectoentropic engraved herman-fuller mind-affecting safe scp toy wooden 
scp-1900,Euclid,site-14,biological computer electronic euclid mind-affecting scp virus 
scp-1901,Euclid,,artifact cognitohazard euclid rewritable sapient scp sensory sentient visual 
scp-1902,Euclid-numen,site-19,amorphous artifact euclid fire mobile religious sapient scp sentient 
scp-1903,euclid,site-45,alive animal biohazard euclid humanoid infohazard pitch-haven sapient scp sentient transfiguration 
scp-1904,Euclid,site-14,acoustic biological building euclid humanoid neurological reproductive scp sentient teleportation toy 
scp-1905,Safe,site-45,animal dinosaurian ectoentropic engraved safe scp weapon 
scp-1906,Euclid,,alive animal bibliothetic building canine ectoentropic euclid scp sensory visual 
scp-1907,Euclid,,euclid extradimensional location scp stone structure 
scp-1908,Euclid,,alive dr-wondertainment ectoentropic euclid humanoid liquid mister rewritable sapient scp sentient 
scp-1909,Safe,,electromagnetic engraved mind-affecting safe scp structure 
scp-191,Safe,site-14,co-authored computer doctor-glass humanoid safe sapient scp sentient 
scp-1910,Safe,,artifact gaseous safe scp transfiguration 
scp-1911,Euclid,site-45,ectoentropic euclid humanoid scp self-replicating sentient 
scp-1912,Euclid,site-65,apian clockwork ectoentropic euclid food insect jewelry liquid metallic mind-affecting scp timepiece transfiguration 
scp-1913,euclid,site-45,animal canine euclid feline fire humanoid pitch-haven sapient scp sentient statue 
scp-1914,Euclid,,alive euclid humanoid mechanical prometheus scp weapon 
scp-1915,Euclid,site-14,alive ectoentropic euclid humanoid mind-affecting sapient scp sentient transfiguration 
scp-1916,Safe,,dr-wondertainment food gravity moon safe scp 
